# mentions, # clusters
50,7
109,9
66,7
84,11
197,25
68,13
80,6
40,5
145,30
82,10
142,20
29,6
35,9
24,5
66,14
26,7
65,11
62,8
178,24
54,6
52,8
144,15
58,10
43,7
260,25
63,8
22,5
178,32
64,17
29,6
176,34
131,15
82,6
126,17
115,37
73,18
98,14
25,4
100,14
21,7
57,15
51,9
69,4
102,10
62,14
139,20
22,4
338,50
165,21
77,9
48,7
22,3
20,2
122,13
124,12
386,188
36,8
18,5
104,21
207,33
9,3
101,13
63,7
32,6
83,14
64,7
12,3
40,6
94,13
41,7
110,11
32,5
33,7
63,6
149,23
30,8
26,6
90,8
17,4
109,26
55,8
108,21
28,6
88,14
110,14
26,4
